label,change
CSC412_MATH324,7.42995343
CSC340_MATH324,6.824285447
CSC415_CSC600,11.70223875
CSC648_CSC600,7.019393939
PHYS230_MATH325,6.407232704
PHYS232_MATH325,6.293396226
CSC520_MATH324,8.301091357
PHYS232_CSC230,5.561967213
PHYS230_CSC230,5.521830065
CSC412_CSC415,12.97606799
MATH324_CSC230,3.317702448
PHYS230_MATH324,5.061643836
CSC413_CSC415,13.96729035
PHYS232_MATH324,4.946875408
MATH325_CSC230,3.512905699
CSC340_MATH325,4.486104025
CSC675_CSC600,5.127777778
CSC256_MATH324,4.194949495
PHYS222_MATH324,7.234076637
PHYS220_MATH324,7.181309955
MATH325_MATH324,3.418081614